2018,chery,arrizo5te at,170000000,3000,1,0,1,0,1
2017,bmw,7 series,1730000000,14000,1,0,1,29,8
2012,mercedes benz,e class,930000000,47700,1,0,1,1,5
2599,chevrolet,NA,185000000,65000,1,0,14,1,16
2013,kia,cerato,195000000,94000,1,0,1,0,1
2016,lexus nx,200t f,800000000,55000,1,0,1,0,6
2018,haima,s7 1.8l,196500000,0,1,0,1,1,1
2018,jac,s3,160000000,0,1,0,1,0,1
2017,toyota,prius,319000000,19000,1,2,3,0,1
2018,volkswagen,NA,555000000,0,1,0,1,0,1
2013,kia,NA,280000000,70000,1,0,1,0,1
2016,kia,sportage,375000000,30000,1,0,1,0,2
2011,hyundai,NA,250000000,119000,1,0,3,1,2
2006,hyundai,NA,162000000,276000,1,0,1,4,3
2018,jac,s5,202000000,0,1,0,1,0,5
2015,bmw 5,series sedan,870000000,40000,1,0,1,0,5
2014,ssang yong,new actyon,300000000,36000,1,0,1,0,1
2016,kia cerato,ir 1600,137000000,47000,0,0,7,6,3
2014,mitsubishi,outlander,340000000,41000,1,0,1,1,1
2015,renault,fluence,155000000,75000,0,0,1,0,1
2014,kia,optima,325000000,100000,1,0,1,1,1
2014,kia,sportage,310000000,90000,1,0,1,0,1
2014,mercedes benz,e class,820000000,85000,1,0,1,0,1
2012,toyota landcruiser,4door v6,1400000000,38000,1,0,1,1,1
2014,hyundai,NA,310000000,82000,1,0,3,0,4
2018,mitsubishi,lancer 1.8,319000000,0,1,0,1,1,1
2007,toyota,camry,180000000,152000,0,0,1,0,2
2016,renault,duster pe,185000000,36000,1,0,6,0,2
2009,mercedes benz,s class,1100000000,59000,1,0,1,0,8
2018,hyundai sonata,hybrid gls,495000000,0,1,2,1,2,5
2015,hyundai,santafe ix45,430000000,75000,1,0,1,0,1
2017,kia,sportage gt,535000000,0,1,0,1,1,1
2008,hyundai,NA,205000000,127000,1,0,3,0,1
2014,hyundai,NA,308000000,46000,1,0,3,1,1
2008,lexus,rx,349000000,164000,1,0,1,1,2
2012,hyundai,NA,388000000,57000,1,0,1,0,2
2011,peugeot,206sd,48000000,173000,0,0,5,0,1
2018,kia cerato,ir 1600,170000000,2000,0,0,1,0,1
2015,hyundai,NA,160000000,25000,1,0,1,29,1
2017,toyota,prius,328000000,39000,1,2,1,0,1
2017,renault,talisman,420000000,29000,1,0,1,2,1
2016,kia,sportage,415000000,20000,1,0,1,0,1
2011,capra,4door,90000000,0,0,0,1,0,1
2017,ssang,yong tivoli,245000000,39000,1,0,1,0,2
2014,kia,cerato,245000000,107000,1,0,1,1,4
2010,bmw,z4,470000000,90000,1,0,1,1,6
2008,kia,sorento,218000000,170000,1,0,1,23,1
2016,kia,optima,425000000,28000,1,0,1,1,1
2013,toyota,hilux high,375000000,100000,0,0,1,0,4
2015,hyundai,NA,370000000,18500,1,0,1,0,2
2017,nissan,juke,283000000,26000,1,0,1,7,1
2017,mitsubishi,outlander,400000000,60000,1,0,4,7,1
2015,alfa,romeo,330000000,37000,1,0,4,0,4
2017,renault,talisman,470000000,14000,1,0,1,0,-1
2018,haima,s7 1.8l,205000000,0,1,0,1,0,8
2017,alfa,romeo,390000000,30000,1,0,1,7,1
2014,ssang yong,new actyon,245000000,140000,1,0,1,6,1
2016,hyundai,santafe ix45,465000000,72000,1,0,1,1,1
2017,hyundai,i20,185000000,26000,1,0,1,2,-1
2018,chery,arrizo5 at,170000000,0,1,0,1,0,1
2014,kia,optima,330000000,80000,1,0,1,0,1
2018,peugeot,NA,239000000,0,1,0,1,0,1
2018,renault,talisman,530000000,10000,1,0,1,2,2
2016,ds,NA,440000000,20000,1,0,3,1,5
2015,hyundai,NA,345000000,70000,1,0,1,0,1
2011,kia,sportage,280000000,100000,1,0,3,1,1
2014,hyundai,santafe ix45,385000000,47000,1,0,1,0,1
2017,toyota,prius,285000000,41000,1,2,3,5,1
2016,samand,soren,58000000,60000,0,0,1,1,3
2013,hyundai,NA,575000000,80000,1,0,1,1,4
2010,hyundai,NA,215000000,260000,1,0,4,4,1
2015,bmw 5,series sedan,820000000,37000,1,0,1,0,5
2018,renault,talisman,486000000,24000,1,0,1,1,1
2017,hyundai,tucson,405000000,27000,1,0,1,0,2
2009,hyundai,NA,220000000,140000,1,0,1,30,2
2018,toyota,c hr,500000000,0,1,2,1,0,1
2018,renault,sandero stepway,132800000,0,1,0,1,0,1
2010,nissan,maxima ir,215000000,0,1,0,1,1,2
2018,jac,s5,197000000,0,1,0,1,0,1
2014,kia,optima,325000000,87000,1,0,1,1,1
2017,mitsubishi,outlander,450000000,45000,1,0,1,2,1
2014,lexus,gs,750000000,38000,1,0,1,1,4
2613,toyota landcruiser,4door v6,210000000,240000,0,0,1,0,3
2014,kia,optima,310000000,147000,1,0,3,1,2
2018,renault,NA,310000000,0,1,0,1,1,2
2002,nissan,maxima ir,88000000,200000,0,0,5,2,3
2015,bmw,x4,870000000,24000,1,0,1,10,5
2016,renault,sandero stepway,115000000,29000,1,0,1,0,3
2011,citroen,NA,220000000,182000,1,0,1,0,1
2010,mitsubishi,pajero 2door,425000000,81000,1,0,1,4,1
2018,chery,arrizo5te at,170000000,4000,1,0,12,1,1
2015,toyota,corolla,327000000,37000,1,0,1,0,2
2009,hyundai,NA,215000000,150000,1,0,1,0,7
2010,hyundai,veracruz,325000000,182000,1,0,3,0,1
2014,kia,optima,365000000,68000,1,0,1,1,2
2015,bmw,x4,790000000,78000,1,0,1,10,1
2013,kia,sportage,296000000,140000,1,0,1,9,1
2016,lifan,x50,75000000,30000,1,0,4,0,1
2013,hyundai,NA,255000000,100000,1,0,5,0,2
2007,mitsubishi,pajero 4door,370000000,300000,1,0,1,4,15
2016,toyota,NA,530000000,55000,1,0,1,6,4
2018,renault,tondar90 plus,118000000,0,1,0,1,0,3
2017,ds,NA,500000000,11000,1,0,1,1,-1
2018,chery,arrizo5te at,170000000,15000,1,0,1,0,1
2012,toyota landcruiser,4door v6,1350000000,25000,1,0,1,0,1
2013,ssang,yong,305000000,45000,1,0,1,0,1
2016,hyundai,santafe ix45,515000000,15000,1,0,3,0,1
2016,kia,optima,460000000,11000,1,0,1,1,1
2018,jac,s5,202000000,0,1,0,1,1,1
2010,mercedes benz,c class,450000000,115000,1,0,4,0,2
2009,hyundai,tucson,193000000,150000,1,0,1,0,2
2016,alfa,romeo,460000000,20000,1,0,1,0,4
2017,mitsubishi,asx,372000000,24100,1,0,1,0,1
2008,hyundai,NA,165000000,148000,1,0,9,0,3
2014,volvo,xc60,550000000,135000,1,0,1,6,1
2010,hyundai,veracruz,345000000,137000,1,0,4,1,4
2015,hyundai,NA,360000000,46000,1,0,1,20,1
2010,renault,megan ir,115000000,143000,1,0,4,1,2
2016,chery,tiggo5 at,160000000,48000,1,0,1,6,1
2012,porsche,911 carrera,1750000000,69000,1,0,1,0,6
2015,hyundai,NA,254000000,73000,1,0,1,0,4
2011,hyundai,santafe ix45,335000000,102000,1,0,1,0,2
2011,renault,megan ir,136000000,145000,1,0,1,5,1
2018,peugeot,207,110000000,0,1,0,1,0,1
2018,jac,s5,203000000,0,1,0,1,0,1
2015,besturn,NA,135000000,50000,1,0,1,0,2
2018,haima,s7 1.8l,190000000,11000,1,0,1,1,1
2017,van,NA,170000000,32000,0,0,1,0,3
2018,renault,NA,590000000,10000,1,0,1,2,5
2011,mercedes benz,c class,520000000,76000,1,0,1,1,2
2017,bmw,7 series,1880000000,3500,1,0,1,0,5
2018,chery,tiggo5,220000000,0,1,0,1,1,-1
2018,chery,tiggo7,265000000,20000,1,0,1,0,4
2015,bmw 5,series sedan,750000000,20000,1,0,1,0,-1
2008,lexus,rx,365000000,158000,1,0,3,2,2
2015,ssang yong,new korando,230000000,105000,1,0,1,1,1
2013,kia,optima,315000000,100000,1,0,1,1,1
2012,kia,sportage gt,345000000,50000,1,0,1,1,1
