toyota,prius,2017,3,319000000,melli,19000,1,2,3,0,1
mitsubishi,lancer 1.8,2018,at,319000000,melli,0,1,0,1,1,1
mercedes benz,s class,2009,s350,1100000000,melli,59000,1,0,1,0,8
kia,sportage gt,2017,line,535000000,melli,0,1,0,1,1,1
lexus,rx,2008,350,349000000,melli,164000,1,0,1,1,2
kia cerato,ir 1600,2018,basic,170000000,melli,2000,0,0,1,0,1
zotye,Ario,2018,1.6l,104000000,melli,0,1,0,1,0,1
toyota,prius,2017,c,328000000,melli,39000,1,2,1,0,1
kia,sportage,2016,basic,415000000,melli,20000,1,0,1,0,1
capra,4door,2011,4wd,90000000,melli,0,0,0,1,0,1
ssang,yong tivoli,2017,elite,245000000,melli,39000,1,0,1,0,2
kia,cerato,2014,2000,245000000,melli,107000,1,0,1,1,4
bmw,z4,2010,35,490000000,melli,90000,1,0,1,1,6
kia,sorento,2008,basic,218000000,melli,170000,1,0,1,23,1
kia,optima,2016,gtline,425000000,melli,28000,1,0,1,1,1
toyota,hilux high,2013,mt,375000000,melli,100000,0,0,1,0,4
nissan,juke,2017,skypack,283000000,melli,26000,1,0,1,7,1
mitsubishi,outlander,2017,type5,400000000,melli,60000,1,0,4,7,1
alfa,romeo,2015,giulietta,330000000,melli,37000,1,0,4,0,4
renault,talisman,2017,e3,470000000,melli,14000,1,0,1,0,-1
alfa,romeo,2017,giulietta,390000000,melli,30000,1,0,1,7,1
ssang yong,new actyon,2014,luxury,245000000,melli,140000,1,0,1,6,1
peugeot,206 ir,2018,type2,70000000,melli,0,0,0,1,2,1
hyundai,santafe ix45,2016,2400cc,475000000,melli,72000,1,0,1,1,1
hyundai,i20,2017,ir,210000000,melli,27000,1,0,1,2,-1
kia,optima,2014,basic,330000000,melli,80000,1,0,1,0,1
renault,talisman,2018,e3,530000000,melli,10000,1,0,1,2,2
kia,sportage,2011,basic,280000000,melli,100000,1,0,3,1,1
toyota,prius,2017,a,285000000,melli,41000,1,2,3,5,1
samand,soren,2016,elx,58000000,melli,60000,0,0,1,1,3
bmw 5,series sedan,2015,528i,830000000,melli,37000,1,0,1,0,5
renault,talisman,2018,e3,512000000,melli,240006,1,0,1,1,1
hyundai,tucson,2017,ix35,420000000,melli,27000,1,0,1,0,2
toyota,c hr,2018,hybrid,500000000,melli,0,1,2,1,0,1
nissan,maxima ir,2010,at,215000000,melli,0,1,0,1,1,2
jac,s5,2018,at,197000000,melli,0,1,0,1,0,1
kia,optima,2014,basic,325000000,melli,87000,1,0,1,1,1
mitsubishi,outlander,2017,type5,450000000,melli,45000,1,0,1,2,1
lexus,gs,2014,250,750000000,melli,38000,1,0,1,1,4
toyota landcruiser,4door v6,1992,4500cc,210000000,melli,240000,0,0,1,0,3
kia,optima,2014,basic,312000000,melli,147000,1,0,3,1,2
bmw,x4,2015,28,870000000,melli,24000,1,0,1,10,5
renault,sandero stepway,2016,at,115000000,melli,29000,1,0,1,0,3
mitsubishi,pajero 2door,2010,6cylinder,425000000,melli,81000,1,0,1,4,1
chery,arrizo5te at,2018,excellent,170000000,melli,4000,1,0,12,1,1
toyota,corolla,2015,gli,327000000,melli,37000,1,0,1,0,2
citroen,c3,2018,ir,320000000,melli,0,1,0,1,0,1
hyundai,veracruz,2010,ix55,325000000,melli,182000,1,0,3,0,1
toyota,hilux high,2014,at,495000000,melli,15000,1,0,1,1,1
renault,sandero stepway,2017,at,124000000,melli,1800,1,0,1,0,9
kia,optima,2014,basic,365000000,melli,68000,1,0,1,1,2
kia,sportage,2013,basic,302000000,melli,140000,1,0,1,9,1
lifan,x50,2016,at,75000000,melli,30000,1,0,4,0,1
mitsubishi,pajero 4door,2007,6cylinder,370000000,melli,300000,1,0,1,4,15
chery,arrizo5te at,2018,excellent,170000000,melli,15000,1,0,1,0,1
ssang,yong,2013,kyron,305000000,melli,44500,1,0,1,0,1
hyundai,santafe ix45,2016,2400cc,550000000,melli,15000,1,0,3,0,1
kia,optima,2016,gtline,460000000,melli,11000,1,0,1,1,1
jac,s5,2018,at,202000000,melli,0,1,0,1,1,1
zotye,Ario,2016,1.6l,90000000,melli,65000,1,0,1,16,1
mercedes benz,c class,2010,c350,450000000,melli,115000,1,0,4,0,2
alfa,romeo,2016,giulietta,460000000,melli,20000,1,0,1,0,4
mitsubishi,asx,2017,type4,370000000,melli,24100,1,0,1,0,1
volvo,xc60,2014,t5,550000000,melli,135000,1,0,1,6,1
hyundai,veracruz,2010,ix55,345000000,melli,137000,1,0,4,1,4
renault,megan ir,2010,2000,115000000,melli,143000,1,0,4,1,2
